{'loss_all': 17.67703628540039, 'loss_G': 16.74740219116211, 'loss_G_GAN': 0.05014696344733238, 'loss_G_cycle': 16.697256088256836, 'loss_D': 0.9296315312385559}
{'loss_all': 15.492627143859863, 'loss_G': 15.052108764648438, 'loss_G_GAN': 1.105957269668579, 'loss_G_cycle': 13.946151733398438, 'loss_D': 0.4405179023742676}
{'loss_all': 12.67811107635498, 'loss_G': 12.235483169555664, 'loss_G_GAN': 0.40915292501449585, 'loss_G_cycle': 11.826330184936523, 'loss_D': 0.44262802600860596}
{'loss_all': 11.109942436218262, 'loss_G': 10.748567581176758, 'loss_G_GAN': 0.5911674499511719, 'loss_G_cycle': 10.157400131225586, 'loss_D': 0.3613746464252472}
{'loss_all': 9.741548538208008, 'loss_G': 9.348711967468262, 'loss_G_GAN': 1.052173376083374, 'loss_G_cycle': 8.296539306640625, 'loss_D': 0.39283546805381775}
{'loss_all': 8.11234188079834, 'loss_G': 7.7346343994140625, 'loss_G_GAN': 0.6143165826797485, 'loss_G_cycle': 7.1203179359436035, 'loss_D': 0.37770700454711914}
{'loss_all': 7.197146892547607, 'loss_G': 6.760199069976807, 'loss_G_GAN': 0.6790953278541565, 'loss_G_cycle': 6.081103801727295, 'loss_D': 0.4369477331638336}
{'loss_all': 6.877544403076172, 'loss_G': 6.422948837280273, 'loss_G_GAN': 0.9621780514717102, 'loss_G_cycle': 5.460771083831787, 'loss_D': 0.45459550619125366}
{'loss_all': 5.918954372406006, 'loss_G': 5.535699844360352, 'loss_G_GAN': 1.0328563451766968, 'loss_G_cycle': 4.502843379974365, 'loss_D': 0.3832547962665558}
{'loss_all': 6.005646228790283, 'loss_G': 5.617134094238281, 'loss_G_GAN': 0.8453986644744873, 'loss_G_cycle': 4.771735668182373, 'loss_D': 0.38851213455200195}
{'loss_all': 4.914505958557129, 'loss_G': 4.4638824462890625, 'loss_G_GAN': 0.48720496892929077, 'loss_G_cycle': 3.976677656173706, 'loss_D': 0.4506230652332306}
{'loss_all': 4.882783889770508, 'loss_G': 4.469931125640869, 'loss_G_GAN': 1.0364398956298828, 'loss_G_cycle': 3.4334912300109863, 'loss_D': 0.4128527045249939}
{'loss_all': 4.586299896240234, 'loss_G': 4.18142557144165, 'loss_G_GAN': 0.628818690776825, 'loss_G_cycle': 3.5526065826416016, 'loss_D': 0.4048748016357422}
{'loss_all': 4.227159023284912, 'loss_G': 3.842891216278076, 'loss_G_GAN': 0.6822235584259033, 'loss_G_cycle': 3.160667896270752, 'loss_D': 0.384267657995224}
{'loss_all': 3.833664894104004, 'loss_G': 3.4237351417541504, 'loss_G_GAN': 0.7975204586982727, 'loss_G_cycle': 2.6262149810791016, 'loss_D': 0.40992969274520874}
